feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,file_name,species,x,y,cluster
-323.4005,133.38686,92.242004,44.132103,6.799573,-10.100714,-8.299547,2.0671878,9.973507,9.913444,3.5391264,-3.3782227,-6.0620065,blue-whale-balaenoptera-musculus.wav,blue-whale-balaenoptera-musculus,3.6778023,1.2302903,0
-387.1316,61.82522,42.179173,19.384968,1.8847853,-5.637504,-3.388211,4.2457647,11.419467,14.320121,12.778037,9.157332,6.1260552,fin-whale-balaenoptera physalus.wav,fin-whale-balaenoptera physalus,7.0122614,-2.1481967,0
-372.68106,111.19409,72.76179,29.067339,-2.0546825,-12.3822775,-6.095928,5.1975317,11.009504,8.067627,0.44608444,-5.209315,-5.1176724,humpback-whale-megaptera-novaeangliae.wav,humpback-whale-megaptera-novaeangliae,-6.6227555,22.485962,0
-165.00386,32.781532,-11.266642,6.597639,-5.191192,7.27077,-1.4134755,0.617164,-1.7282225,3.2645094,-1.992185,7.6183753,1.0686212,killer-whale-orcinus-orca.wav,killer-whale-orcinus-orca,17.458023,-10.335234,1
-491.98138,129.96066,92.94777,50.0628,17.848747,4.2587633,5.9498873,12.647147,14.950442,9.945048,1.4103079,-4.537091,-4.574139,minke-whale-balaenoptera-acutorostrata.wav,minke-whale-balaenoptera-acutorostrata,8.938522,18.737255,2
-434.86868,169.31395,106.92693,39.158592,-4.9947414,-14.456221,0.30044836,17.834406,22.14273,11.846458,-2.655276,-9.67289,-5.6372,north-atlantic-right-whale-eubalaena-glacialis-1.wav,north-atlantic-right-whale-eubalaena-glacialis-1,14.91511,1.8730093,2
-457.75748,166.08372,6.932394,-11.956599,37.948215,25.13603,-8.861191,3.0228407,17.587717,2.7011037,-3.7247372,6.41599,4.3644166,north-atlantic-right-whale-eubalaena-glacialis-2.wav,north-atlantic-right-whale-eubalaena-glacialis-2,-2.278766,15.601094,2
-282.2416,64.59113,-9.166724,11.2060585,-0.4911746,7.6197085,0.043564443,7.357242,1.5976479,6.653414,2.285608,7.1572676,2.547427,northern-bottlenose-whale-hyperoodon-ampullatus.wav,northern-bottlenose-whale-hyperoodon-ampullatus,17.302258,-11.903635,1
-217.3587,-41.10967,-100.28326,22.461872,-26.322517,32.039234,-6.983411,42.619713,-17.147348,24.795057,-29.981113,15.089486,-26.482573,pilot-whale-globicephala-spp.wav,pilot-whale-globicephala-spp,-2.4902003,-14.42485,3
-391.60873,84.52945,76.90621,65.89938,53.009823,39.440754,26.343035,14.958086,6.316705,0.86469465,-1.5636185,-1.514424,0.2585616,sei-whale-balaenoptera-borealis.wav,sei-whale-balaenoptera-borealis,6.248824,4.3978434,0
-253.93137,14.146015,-20.274584,9.012499,-0.3408277,7.467526,1.2563574,6.5657654,-3.1233935,3.662935,0.12014143,3.794676,-1.7761334,sperm-whale-physeter-macrocephalus.wav,sperm-whale-physeter-macrocephalus,-5.1114554,3.7222412,1
-323.4005,133.38686,92.242004,44.132103,6.799573,-10.100714,-8.299547,2.0671878,9.973507,9.913444,3.5391264,-3.3782227,-6.0620065,blue-whale-balaenoptera-musculus.wav,blue-whale-balaenoptera-musculus,3.91256,0.9905375,0
-387.1316,61.82522,42.179173,19.384968,1.8847853,-5.637504,-3.388211,4.2457647,11.419467,14.320121,12.778037,9.157332,6.1260552,fin-whale-balaenoptera physalus.wav,fin-whale-balaenoptera physalus,6.9753175,-2.1113167,0
-372.68106,111.19409,72.76179,29.067339,-2.0546825,-12.3822775,-6.095928,5.1975317,11.009504,8.067627,0.44608444,-5.209315,-5.1176724,humpback-whale-megaptera-novaeangliae.wav,humpback-whale-megaptera-novaeangliae,-6.8197665,22.683002,0
-165.00386,32.781532,-11.266642,6.597639,-5.191192,7.27077,-1.4134755,0.617164,-1.7282225,3.2645094,-1.992185,7.6183753,1.0686212,killer-whale-orcinus-orca.wav,killer-whale-orcinus-orca,17.37735,-10.250618,1
-491.98138,129.96066,92.94777,50.0628,17.848747,4.2587633,5.9498873,12.647147,14.950442,9.945048,1.4103079,-4.537091,-4.574139,minke-whale-balaenoptera-acutorostrata.wav,minke-whale-balaenoptera-acutorostrata,8.826811,18.625536,2
-434.86868,169.31395,106.92693,39.158592,-4.9947414,-14.456221,0.30044836,17.834406,22.14273,11.846458,-2.655276,-9.67289,-5.6372,north-atlantic-right-whale-eubalaena-glacialis-1.wav,north-atlantic-right-whale-eubalaena-glacialis-1,14.769518,2.0186937,2
-457.75748,166.08372,6.932394,-11.956599,37.948215,25.13603,-8.861191,3.0228407,17.587717,2.7011037,-3.7247372,6.41599,4.3644166,north-atlantic-right-whale-eubalaena-glacialis-2.wav,north-atlantic-right-whale-eubalaena-glacialis-2,-2.3409362,15.538768,2
-282.2416,64.59113,-9.166724,11.2060585,-0.4911746,7.6197085,0.043564443,7.357242,1.5976479,6.653414,2.285608,7.1572676,2.547427,northern-bottlenose-whale-hyperoodon-ampullatus.wav,northern-bottlenose-whale-hyperoodon-ampullatus,17.371336,-11.974507,1
-217.3587,-41.10967,-100.28326,22.461872,-26.322517,32.039234,-6.983411,42.619713,-17.147348,24.795057,-29.981113,15.089486,-26.482573,pilot-whale-globicephala-spp.wav,pilot-whale-globicephala-spp,-2.4484556,-14.46662,3
-391.60873,84.52945,76.90621,65.89938,53.009823,39.440754,26.343035,14.958086,6.316705,0.86469465,-1.5636185,-1.514424,0.2585616,sei-whale-balaenoptera-borealis.wav,sei-whale-balaenoptera-borealis,6.1134653,4.250246,0
-253.93137,14.146015,-20.274584,9.012499,-0.3408277,7.467526,1.2563574,6.5657654,-3.1233935,3.662935,0.12014143,3.794676,-1.7761334,sperm-whale-physeter-macrocephalus.wav,sperm-whale-physeter-macrocephalus,-5.334857,3.9454937,1
-323.4005,133.38686,92.242004,44.132103,6.799573,-10.100714,-8.299547,2.0671878,9.973507,9.913444,3.5391264,-3.3782227,-6.0620065,blue-whale-balaenoptera-musculus.wav,blue-whale-balaenoptera-musculus,3.7075503,1.1950996,0
-387.1316,61.82522,42.179173,19.384968,1.8847853,-5.637504,-3.388211,4.2457647,11.419467,14.320121,12.778037,9.157332,6.1260552,fin-whale-balaenoptera physalus.wav,fin-whale-balaenoptera physalus,6.774914,-1.9111981,0
-372.68106,111.19409,72.76179,29.067339,-2.0546825,-12.3822775,-6.095928,5.1975317,11.009504,8.067627,0.44608444,-5.209315,-5.1176724,humpback-whale-megaptera-novaeangliae.wav,humpback-whale-megaptera-novaeangliae,-6.867895,22.731102,0
-165.00386,32.781532,-11.266642,6.597639,-5.191192,7.27077,-1.4134755,0.617164,-1.7282225,3.2645094,-1.992185,7.6183753,1.0686212,killer-whale-orcinus-orca.wav,killer-whale-orcinus-orca,17.630302,-10.499971,1
-491.98138,129.96066,92.94777,50.0628,17.848747,4.2587633,5.9498873,12.647147,14.950442,9.945048,1.4103079,-4.537091,-4.574139,minke-whale-balaenoptera-acutorostrata.wav,minke-whale-balaenoptera-acutorostrata,8.749649,18.54842,2
-434.86868,169.31395,106.92693,39.158592,-4.9947414,-14.456221,0.30044836,17.834406,22.14273,11.846458,-2.655276,-9.67289,-5.6372,north-atlantic-right-whale-eubalaena-glacialis-1.wav,north-atlantic-right-whale-eubalaena-glacialis-1,14.866479,1.9217415,2
-457.75748,166.08372,6.932394,-11.956599,37.948215,25.13603,-8.861191,3.0228407,17.587717,2.7011037,-3.7247372,6.41599,4.3644166,north-atlantic-right-whale-eubalaena-glacialis-2.wav,north-atlantic-right-whale-eubalaena-glacialis-2,-2.1229644,15.756949,2
-282.2416,64.59113,-9.166724,11.2060585,-0.4911746,7.6197085,0.043564443,7.357242,1.5976479,6.653414,2.285608,7.1572676,2.547427,northern-bottlenose-whale-hyperoodon-ampullatus.wav,northern-bottlenose-whale-hyperoodon-ampullatus,17.222473,-11.834565,1
-217.3587,-41.10967,-100.28326,22.461872,-26.322517,32.039234,-6.983411,42.619713,-17.147348,24.795057,-29.981113,15.089486,-26.482573,pilot-whale-globicephala-spp.wav,pilot-whale-globicephala-spp,-2.6562686,-14.258791,3
-391.60873,84.52945,76.90621,65.89938,53.009823,39.440754,26.343035,14.958086,6.316705,0.86469465,-1.5636185,-1.514424,0.2585616,sei-whale-balaenoptera-borealis.wav,sei-whale-balaenoptera-borealis,6.3237348,4.2264566,0
-253.93137,14.146015,-20.274584,9.012499,-0.3408277,7.467526,1.2563574,6.5657654,-3.1233935,3.662935,0.12014143,3.794676,-1.7761334,sperm-whale-physeter-macrocephalus.wav,sperm-whale-physeter-macrocephalus,-5.4641643,4.074755,1
